locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1733787,MOMO INNOVATION LLC,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,3721120,3721,120,23MFF-00028,APPROVED,Noodles,6013055.646,2115118.242,37.78844616,-122.3986412,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00028&ExportPDF=1&Filename=23MFF-00028_schedule.pdf,,,10/18/2023 0:00,20231017,0,11/15/2024 0:00,"(37.78844615690132, -122.3986412420388)",12,2,9,28855,6
1733611,Buenafe,Truck,5335000,EVANS AVE: PHELPS ST to QUINT ST (1600 - 1699),750 PHELPS ST,5280001,5280,1,23MFF-00025,APPROVED,Tacos: Burritos: Quesadillas: Tortas,6014320.244,2097246.796,37.73944545,-122.393015,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00025&ExportPDF=1&Filename=23MFF-00025_schedule.pdf,,,10/18/2023 0:00,20231013,0,11/15/2024 0:00,"(37.73944545286909, -122.39301498669842)",10,3,8,58,1
1733786,MOMO INNOVATION LLC,Truck,3420000,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,290011,290,11,23MFF-00028,APPROVED,Noodles,6012652.373,2116027.943,37.79092151,-122.4001004,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00028&ExportPDF=1&Filename=23MFF-00028_schedule.pdf,,,10/18/2023 0:00,20231017,0,11/15/2024 0:00,"(37.79092150726921, -122.4001004237385)",4,1,10,28854,6
1744307,"BOWL'D ACAI, LLC.",Truck,3357000,BUCHANAN ST: NORTH POINT ST to BEACH ST \ LOWER FORT MASON ST \ MARINA BLVD (3700 - 3799),15 MARINA BLVD,446002,446,2,23MFF-00050,REQUESTED,Acai Bowls: Poke Bowls: Smoothies: Juices,6003247.312,2121194.213,37.80457787,-122.4330108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00050&ExportPDF=1&Filename=23MFF-00050_schedule.pdf,,,,20231121,0,11/15/2024 0:00,"(37.80457786909011, -122.43301077434302)",13,9,1,57,17
1744376,HalalCartSF LLC,Push Cart,8741101,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (401 - 499) -- SOUTH --,455 MARKET ST,3709012,3709,12,23MFF-00051,REQUESTED,Gyros: Kebabs: soft drinks: and water,6013076.33,2116028.637,37.79094704,-122.3986336,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00051&ExportPDF=1&Filename=23MFF-00051_schedule.pdf,,,,20231121,0,11/15/2024 0:00,"(37.79094704192342, -122.39863358940373)",12,2,9,28855,6
1744302,"BOWL'D ACAI, LLC.",Truck,2753000,BATTERY ST: PINE ST to CALIFORNIA ST (100 - 199),111 BATTERY ST,261005,261,5,23MFF-00048,REQUESTED,Acai Bowls: Smoothies: Juices,6012649.224,2116554.374,37.79236679,-122.4001483,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00048&ExportPDF=1&Filename=23MFF-00048_schedule.pdf,,,,20231121,0,11/15/2024 0:00,"(37.79236678688307, -122.40014830676716)",4,1,10,28854,6
1741557,Philz Coffee Truck,Truck,9306000,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),735 MONTGOMERY ST,195001,195,1,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6011635.905,2117976.662,37.7962155,-122.4037546,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00045&ExportPDF=1&Filename=23MFF-00045_schedule.pdf,,,11/15/2023 0:00,20231115,0,11/15/2024 0:00,"(37.79621549659414, -122.40375455824538)",3,1,10,28860,4
1741553,Philz Coffee Truck,Truck,10455000,PINE ST: BATTERY ST to SANSOME ST (200 - 299),250 PINE ST,261007,261,7,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6012487.324,2116531.736,37.7922956,-122.4007069,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00045&ExportPDF=1&Filename=23MFF-00045_schedule.pdf,,,11/15/2023 0:00,20231115,0,11/15/2024 0:00,"(37.79229559981873, -122.40070689723306)",4,1,10,28854,6
1733612,Buenafe,Truck,9199000,MISSISSIPPI ST: 07TH ST \ 16TH ST to 17TH ST (1 - 99),901 16TH ST,3949001,3949,1,23MFF-00026,APPROVED,Tacos burritos quesadillas tortas pupusas flautas tamales,6013806.356,2106973.63,37.76612469,-122.3954731,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00026&ExportPDF=1&Filename=23MFF-00026_schedule.pdf,,,10/18/2023 0:00,20231013,0,11/15/2024 0:00,"(37.76612469442701, -122.39547306227007)",14,3,8,28856,20
1733798,MOMO INNOVATION LLC,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,67,23MFF-00030,APPROVED,Noodles: Meat & Drinks,6012350.571,2114444.914,37.78655805,-122.4010334,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00030&ExportPDF=1&Filename=23MFF-00030_schedule.pdf,,,10/18/2023 0:00,20231017,0,11/15/2024 0:00,"(37.7865580501799, -122.40103337534973)",12,2,9,28855,6
